Car ID,Manufacturer,Model,Year,Modification,Link to Page,Price,Total Run,Engine,Gearbox,Color,Condition,Drive Type
35263831,Porsche,Cayenne,2015,3.0D AT (265 к.с.) AWD,/auto_porsche_cayenne_35263831.html," 45 999 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",93 тис. км,3 л (265 к.с. / 195 кВт) • Дизель,Автомат, Бежевий металік,Повністю непошкоджене ,Повний
35262621,Porsche,Cayenne,2018,,/auto_porsche_cayenne_35262621.html," 71 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",92 тис. км,3 л (340 к.с. / 250 кВт) • Бензин,Автомат, Синій металік,Повністю непошкоджене ,Повний
31443531,Porsche,Cayenne,2017,,/auto_porsche_cayenne_31443531.html, 41 000 $,134 тис. км,(300 к.с. / 221 кВт) • Бензин,Автомат, Чорний,Професійно відремонтовані пошкодження ,Повний
35247850,Porsche,Cayenne,2019,,/auto_porsche_cayenne_35247850.html," 69 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",79 тис. км,3 л (340 к.с. / 250 кВт) • Бензин,Автомат, Чорний металік,,Повний
31065270,Porsche,Cayenne,2018,,/auto_porsche_cayenne_31065270.html," 70 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",60 тис. км,3 л • Бензин,Автомат, Коричневий металік,Повністю непошкоджене ,
35223425,Porsche,Panamera,2017,,/auto_porsche_panamera_35223425.html," 99 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",47 тис. км,2.89 л (440 к.с. / 324 кВт) • Бензин,Типтронік,Світлий,,Повний
35031169,Porsche,Cayenne,2012,3.0D AT (245 к.с.) AWD,/auto_porsche_cayenne_35031169.html," 31 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",233 тис. км,2.97 л (245 к.с. / 180 кВт) • Дизель,Автомат,Світлий,Повністю непошкоджене ,Повний
35183235,Porsche,Macan,2020,2.0 PDK (252 к.с.),/auto_porsche_macan_35183235.html, 58 500 $,79 тис. км,1.98 л (252 к.с. / 185 кВт) • Бензин,Автомат,Темний,Професійно відремонтовані пошкодження ,Повний
35180838,Porsche,Cayenne,2010,Turbo 4.8 AT (500 к.с.) AWD,/auto_porsche_cayenne_35180838.html," 24 800 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",165 тис. км,(500 к.с. / 368 кВт) • Бензин,Автомат,Коричневий,Повністю непошкоджене ,Повний
34953310,Porsche,Cayenne,2019,,/auto_porsche_cayenne_34953310.html," 93 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",74 тис. км,2.89 л • Бензин,Автомат,Коричневий,,Повний
35123477,Porsche,Cayenne,2012,Turbo 4.8 AT (500 к.с.) AWD,/auto_porsche_cayenne_35123477.html," 35 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",60 тис. км,4.8 л (500 к.с. / 368 кВт) • Бензин,Автомат,Коричневий,Повністю непошкоджене ,Повний
34615465,Porsche,Cayenne,2008,3.6 AT (290 к.с.) AWD,/auto_porsche_cayenne_34615465.html," 14 999 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",239 тис. км,3.6 л (290 к.с. / 213 кВт) • Бензин,Автомат,Світлий,Повністю непошкоджене ,Повний
35308094,Porsche,Taycan,2020,Turbo S (761 к.с.),/auto_porsche_taycan_35308094.html," 159 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",8 тис. км,(761 к.с. / 560 кВт) • Електро,Автомат,Темний,,Повний
1914366,Porsche,Cayenne Coupe,2023,3.0 Tiptronic (340 к.с.) AWD,/newauto/auto-porsche-cayenne-coupe-1914366.html, 4 440 000 грн ,,,,,,
1918599,Porsche,Cayenne,2022,GTS 4.0 Tip-tronic S (460 к.с.),/newauto/auto-porsche-cayenne-1918599.html,,,,,,,
34992400,Porsche,Cayenne,2018,Turbo 4.0 Tip-tronic (550 к.с.),/auto_porsche_cayenne_34992400.html," 120 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",22 тис. км,4 л (550 к.с. / 405 кВт) • Бензин,Автомат, Коричневий,,Повний
34233091,Porsche,Macan,2017,,/auto_porsche_macan_34233091.html, 32 800 $,138 тис. км,3 л • Бензин,Типтронік, Синій металік,Повністю непошкоджене ,Повний
34967746,Porsche,Panamera,2012,3.0D Tiptronic S (250 к.с.),/auto_porsche_panamera_34967746.html," 29 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",125 тис. км,2.97 л (250 к.с. / 184 кВт) • Дизель,Автомат,Темний,Повністю непошкоджене ,Задній
1928091,Porsche,Cayenne Coupe,2022,GTS 4.0 Tiptronic S (460 к.с.),/newauto/auto-porsche-cayenne-coupe-1928091.html, 5 840 000 грн ,,,,,,
35307041,Porsche,Taycan,2021,Turbo S (761 к.с.),/auto_porsche_taycan_35307041.html," 145 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",17 тис. км,(761 к.с. / 560 кВт) • Електро,Автомат,Темний,Повністю непошкоджене ,Повний
34934930,Porsche,Cayenne,2004,,/auto_porsche_cayenne_34934930.html," 7 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",262 тис. км,4.51 л (340 к.с. / 250 кВт) • Газ пропан-бутан / Бензин,Автомат,Темний,,Повний
34843432,Porsche,Macan,2018,,/auto_porsche_macan_34843432.html, 37 000 $,71 тис. км,3 л (350 к.с. / 257 кВт) • Бензин,Автомат, Синій,,Повний
35254503,Porsche,Cayenne,2015,3.0D AT (265 к.с.) AWD,/auto_porsche_cayenne_35254503.html," 44 700 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",137 тис. км,2.97 л (265 к.с. / 195 кВт) • Дизель,Автомат, Коричневий металік,,Повний
35290719,Porsche,Panamera,2013,GTS 4.8 PDK (440 к.с.),/auto_porsche_panamera_35290719.html," 39 999 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",101 тис. км,4.81 л (440 к.с. / 324 кВт) • Бензин,Автомат,Темний,,Повний
35281761,Porsche,Cayenne,2015,3.0D AT (245 к.с.) AWD,/auto_porsche_cayenne_35281761.html," 43 999 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",169 тис. км,3 л (245 к.с. / 180 кВт) • Дизель,Автомат,Світлий,Повністю непошкоджене ,Повний
34915222,Porsche,Cayenne,2023,3.0 Tip-tronic (353 к.с.),/auto_porsche_cayenne_34915222.html," 144 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",1 тис. км,3 л • Бензин,Автомат, Чорний,Повністю непошкоджене ,Повний
33319781,Porsche,Cayenne,2014,,/auto_porsche_cayenne_33319781.html, 23 999 $,132 тис. км,3.6 л (306 к.с. / 225 кВт) • Бензин,Типтронік, Чорний металік,,Повний
1916566,Porsche,Taycan,2022,4S (571 к.с.),/newauto/auto-porsche-taycan-1916566.html,,,,,,,
1903728,Porsche,Taycan,2023,4S (571 к.с.),/newauto/auto-porsche-taycan-1903728.html, 5 270 523 грн ,,,,,,
34573436,Porsche,Cayenne,2007,S 4.8 MT (385 к.с.) AWD,/auto_porsche_cayenne_34573436.html," 8 999 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",187 тис. км,4.8 л (385 к.с. / 283 кВт) • Бензин,Автомат,Коричневий,Повністю непошкоджене ,Повний
35302866,Porsche,Panamera,2017,,/auto_porsche_panamera_35302866.html," 66 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",78 тис. км,3 л • Бензин,Автомат, Чорний,,
35298785,Porsche,Panamera,2013,,/auto_porsche_panamera_35298785.html," 29 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",115 тис. км,3.61 л (300 к.с. / 221 кВт) • Бензин,Автомат,Темний,Повністю непошкоджене ,Повний
35290895,Porsche,Cayenne Coupe,2020,S 2.9 Tiptronic (440 к.с.) AWD,/auto_porsche_cayenne_coupe_35290895.html," 115 555 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",17 тис. км,2.89 л (440 к.с. / 324 кВт) • Бензин,Автомат, Чорний,,Повний
35277687,Porsche,Panamera,2014,Turbo 4.8 PDK (520 к.с.),/auto_porsche_panamera_35277687.html," 39 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",97 тис. км,4.81 л (520 к.с. / 382 кВт) • Бензин,Автомат, Білий,,Повний
35277146,Porsche,Macan,2021,2.0 PDK (265 к.с.),/auto_porsche_macan_35277146.html," 63 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",12 тис. км,1.98 л (265 к.с. / 195 кВт) • Бензин,Автомат,Світлий,Повністю непошкоджене ,Повний
1922037,Porsche,Cayenne,2022,3.0 Tip-tronic (340 к.с.),/newauto/auto-porsche-cayenne-1922037.html,,,,,,,
33195577,Porsche,Macan,2017,,/auto_porsche_macan_33195577.html," 41 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",116 тис. км,2 л • Бензин,Автомат,Світлий,,Повний
34499311,Porsche,Macan,2016,,/auto_porsche_macan_34499311.html, 34 000 $,89 тис. км,2 л • Бензин,Автомат, Синій,,Повний
35002185,Porsche,Panamera,2017,Sport Turismo 4 E-Hybrid 2.9 PDK (462 к.с.),/auto_porsche_panamera_35002185.html," 83 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",61 тис. км,2.89 л (136 к.с. / 100 кВт) • Гібрид (PHEV),Робот, Синій,,Повний
34983148,Porsche,Taycan,2021,Turbo S (761 к.с.),/auto_porsche_taycan_34983148.html," 159 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",11 тис. км,(761 к.с. / 560 кВт) • Електро,Автомат,Коричневий,Повністю непошкоджене ,Повний
35308036,Porsche,Panamera,2023,4 E-Hybrid Executive 2.9 PDK (462 к.с.),/auto_porsche_panamera_35308036.html," 163 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",1 тис. км,2.9 л (462 к.с. / 340 кВт) • Гібрид (HEV),Автомат, Зелений,,Повний
1914410,Porsche,Cayenne,2023,3.0 Tip-tronic (340 к.с.),/newauto/auto-porsche-cayenne-1914410.html,,,,,,,
35302106,Porsche,Cayenne,2013,,/auto_porsche_cayenne_35302106.html," 26 990 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",182 тис. км,3.6 л • Бензин,Автомат,Світлий,Повністю непошкоджене ,Повний
35301714,Porsche,Cayenne,2007,,/auto_porsche_cayenne_35301714.html," 15 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",115 тис. км,4.81 л (505 к.с. / 371 кВт) • Бензин,Ручна / Механіка,Коричневий,Професійно відремонтовані пошкодження ,Повний
35301650,Porsche,Cayenne,2018,Turbo 4.0 Tip-tronic (550 к.с.),/auto_porsche_cayenne_35301650.html," 140 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",64 тис. км,4 л (748 к.с. / 550 кВт) • Бензин,Автомат,Темний,,Повний
35300210,Porsche,Cayenne,2009,GTS 4.8 AT (405 к.с.) AWD,/auto_porsche_cayenne_35300210.html," 13 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",160 тис. км,4.8 л • Бензин,Автомат,Коричневий,Повністю непошкоджене ,Повний
35298721,Porsche,Cayenne,2012,GTS 4.8 AT (420 к.с.) AWD,/auto_porsche_cayenne_35298721.html," 29 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",113 тис. км,4.81 л (420 к.с. / 309 кВт) • Бензин,Автомат,Темний,Повністю непошкоджене ,Повний
35297346,Porsche,Panamera,2017,4S Executive 2.9 PDK (440 к.с.),/auto_porsche_panamera_35297346.html," 77 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",134 тис. км,2.9 л (440 к.с. / 324 кВт) • Бензин,Автомат,Світлий,,Повний
35115705,Porsche,Cayenne,2008,,/auto_porsche_cayenne_35115705.html," 13 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",242 тис. км,3.6 л (290 к.с. / 213 кВт) • Газ пропан-бутан / Бензин,Автомат, Білий,Повністю непошкоджене ,Повний
35291508,Porsche,Cayenne,2017,,/auto_porsche_cayenne_35291508.html, 47 800 $,39 тис. км,3.6 л (300 к.с. / 221 кВт) • Бензин,Типтронік,Темний,Професійно відремонтовані пошкодження ,Повний
35290296,Porsche,Panamera,2016,Turbo 4.0 PDK (550 к.с.),/auto_porsche_panamera_35290296.html, 95 000 $,36 тис. км,4 л (550 к.с. / 405 кВт) • Бензин,Робот, Сірий металік,,Повний
35285503,Porsche,Cayenne,2008,S 4.8 AT (385 к.с.) AWD,/auto_porsche_cayenne_35285503.html," 12 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",191 тис. км,4.81 л • Бензин,,Темний,,Повний
35284610,Porsche,Cayenne,2010,,/auto_porsche_cayenne_35284610.html," 26 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",237 тис. км,2.97 л • Дизель,,Темний,,
35095318,Porsche,Macan,2015,S 3.0D AT (245 к.с.),/auto_porsche_macan_35095318.html," 35 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",245 тис. км,3 л (245 к.с. / 180 кВт) • Дизель,Автомат,Коричневий,Повністю непошкоджене ,Повний
35283308,Porsche,Cayenne,2011,3.0D AT (245 к.с.) AWD,/auto_porsche_cayenne_35283308.html," 32 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",235 тис. км,2.97 л • Дизель,Автомат,Коричневий,,
34437249,Porsche,911,2012,3.8 АТ (475 к.с.),/auto_porsche_911_34437249.html," 119 800 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",3 тис. км,3.8 л (400 к.с. / 294 кВт) • Бензин,Автомат, Жовтий,,Повний
34454666,Porsche,Macan,2014,,/auto_porsche_macan_34454666.html," 39 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",140 тис. км,3 л (250 к.с. / 184 кВт) • Дизель,, Чорний металік,,Повний
34853569,Porsche,Cayenne,2008,S 4.8 MT (385 к.с.) AWD,/auto_porsche_cayenne_34853569.html," 11 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",244 тис. км,4.8 л • Бензин,Автомат, Синій металік,,Повний
27852628,Porsche,Taycan,2020,Turbo S (761 к.с.),/auto_porsche_taycan_27852628.html," 155 555 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",11 тис. км,Електро,Автомат, Сірий металік,,Повний
35241572,Porsche,Cayenne,2012,,/auto_porsche_cayenne_35241572.html," 25 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",182 тис. км,3.6 л • Бензин,Автомат,Світлий,Повністю непошкоджене ,Повний
35235446,Porsche,Cayenne,2013,3.0D AT (245 к.с.) AWD,/auto_porsche_cayenne_35235446.html, 27 500 €,293 тис. км,2.97 л (244.8 к.с. / 180 кВт) • Дизель,Автомат,Темний,Повністю непошкоджене ,Повний
34523172,Porsche,Cayenne,2021,E-Hybrid Tiptronic S (462 к.с.),/auto_porsche_cayenne_34523172.html," 120 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",15 тис. км,3 л (462 к.с. / 340 кВт) • Бензин,Автомат,Коричневий,Повністю непошкоджене ,Повний
35212868,Porsche,Panamera,2017,Sport Turismo 4 3.0 PDK (330 к.с.),/auto_porsche_panamera_35212868.html, 63 000 $,62 тис. км,3 л (330 к.с. / 243 кВт) • Бензин,Автомат,Світлий,,Повний
34635425,Porsche,Macan,2020,S 3.0 PDK (354 к.с.),/auto_porsche_macan_34635425.html, 62 000 $,19 тис. км,3 л (354 к.с. / 260 кВт) • Бензин,Автомат, Сірий металік,Професійно відремонтовані пошкодження ,Повний
1927901,Porsche,Cayenne Coupe,2022,3.0 Tiptronic (340 к.с.) AWD,/newauto/auto-porsche-cayenne-coupe-1927901.html, 4 780 000 грн ,,,,,,
1924553,Porsche,Panamera,2023,GTS 4.0 PDK (480 к.с.),/newauto/auto-porsche-panamera-1924553.html,,,,,,,
1924595,Porsche,Cayenne,2022,3.0 Tip-tronic (340 к.с.),/newauto/auto-porsche-cayenne-1924595.html, 3 960 000 грн ,,,,,,
1907506,Porsche,Cayenne,2022,3.0 Tip-tronic (340 к.с.),/newauto/auto-porsche-cayenne-1907506.html, 110 380 € ,,,,,,
35077226,Porsche,Cayenne,2012,S 4.8 AT (400 к.с.) AWD,/auto_porsche_cayenne_35077226.html," 25 999 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",144 тис. км,4.81 л (400 к.с. / 294 кВт) • Бензин,Типтронік,Світлий,Повністю непошкоджене ,Повний
35303228,Porsche,Panamera,2017,4 E-Hybrid 2.9 PDK (462 к.с.),/auto_porsche_panamera_35303228.html," 87 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",103 тис. км,2.89 л (185 к.с. / 136 кВт) • Гібрид (HEV),Робот, Червоний металік,Повністю непошкоджене ,Повний
35126174,Porsche,Taycan,2022,4S (571 к.с.),/auto_porsche_taycan_35126174.html," 119 300 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",15 тис. км,(571 к.с. / 420 кВт) • Електро,Автомат, Коричневий металік,,Повний
35194904,Porsche,Panamera,2019,4 E-Hybrid 2.9 PDK (462 к.с.),/auto_porsche_panamera_35194904.html," 80 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",72 тис. км,2.89 л (136 к.с. / 100 кВт) • Гібрид (HEV),Робот,Темний,,Повний
34723360,Porsche,Cayenne,2011,,/auto_porsche_cayenne_34723360.html," 25 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",161 тис. км,3 л (383 к.с. / 282 кВт) • Гібрид (HEV),Типтронік, Коричневий металік,,Повний
35299074,Porsche,Cayenne,2023,3.0 Tip-tronic (353 к.с.),/auto_porsche_cayenne_35299074.html," 133 220 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",1 тис. км,3 л (353 к.с. / 260 кВт) • Бензин,Автомат,,,Повний
1928061,Porsche,Cayenne,2024,Turbo E-Hybrid 4.0 Tip-tronic (739 к.с.),/newauto/auto-porsche-cayenne-1928061.html,,,,,,,
35293939,Porsche,Macan,2016,,/auto_porsche_macan_35293939.html, 19 700 $,180 тис. км,2 л • Бензин,Автомат,Коричневий,Невідремонтовані пошкодження ,Повний
35293403,Porsche,Cayenne,2007,,/auto_porsche_cayenne_35293403.html," 9 800 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",240 тис. км,4.81 л • Бензин,Автомат, Чорний металік,,Повний
35293386,Porsche,Macan,2016,S 3.0 PDK (340 к.с.),/auto_porsche_macan_35293386.html, 31 950 $,154 тис. км,3 л (340 к.с. / 250 кВт) • Бензин,Робот,Темний,,Повний
34922612,Porsche,Cayenne,2011,3.0D AT (245 к.с.) AWD,/auto_porsche_cayenne_34922612.html," 30 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",125 тис. км,2.97 л • Дизель,Автомат, Білий,,Повний
